,filename, H,C,N,O,F,Cl,Br,V,Cu,Zn,Zr, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen ,largest_pore_diam1,largest_pore_diam2,density,ASA_unit_volume,ASA_unit_mass,helium void fraction,Henry Coef of propane,Henry Coef of propene,avg_loading_absolute_propane-1,avg_loading_absolute_propene-1,avg_loading_absolute_propane-0.1,avg_loading_absolute_propene-0.1,wc-propane,wc-propene,S-propane-1,S-propene-1,APS-propane,APS-propene
23,hMOF-5081382.cif,11,42,4,12,0,0,5,0,2,0,0,34.0,4.761904761904762,6.0,0.2763157894736842,0.8978947368421052,0.3333333333333333,6.80511,4.46635,0.998435,2291.46,2295.06,0.774153,0.00231338,0.0018144,4.1391692263,3.2396909451,3.7262427003,2.6309328495,0.4129265260000001,0.6087580955999998,1.280206929140445,0.781123720890512,0.5286313998110921,0.4755153887572939
24,hMOF-5030900.cif,32,70,2,17,0,0,0,0,0,4,0,54.5,5.714285714285714,4.25,0.152,0.51648,0.1176470588235294,20.41728,15.36098,0.203527,1194.38,5868.44,0.933669,3.1815e-05,2.697e-05,1.6166730505,1.4090082658,0.1616603347,0.1352949055,1.4550127158,1.2737133603,1.149685968458232,0.8698027352121503,1.672807703283565,1.107879364665199
25,hMOF-7000793.cif,36,80,0,32,0,0,26,0,0,0,6,50.0,7.5,5.333333333333333,0.3222222222222222,1.039111111111111,0.0,7.14838,1.67018,2.47985,0.0,0.0,0.321647,0.173478,0.0626943,0.5518650111,0.4103209231,0.5392802234,0.3597277788,0.01258478769999993,0.0505931443,1.347658236980751,0.7420278914633186,0.01695999280455895,0.03754152418742842
26,hMOF-5045817.cif,30,33,2,17,0,0,0,0,0,2,0,18.5,6.060606060606061,8.5,0.2261904761904762,0.7685714285714286,0.1176470588235294,7.48921,4.90434,0.95597,1478.66,1546.76,0.456858,0.00019978,0.000126344,2.1952334121,1.5535747203,0.9356113312,0.6017907132,1.2596220809,0.9517840071000001,1.415856149395333,0.7062864404883704,1.78344366915641,0.6722321384884169
27,hMOF-12463.cif,22,80,0,26,0,18,0,0,0,8,0,61.0,10.0,3.25,0.2857142857142857,0.95012987012987,0.0,3.69921,2.93052,2.04668,0.0,0.0,0.323368,1.01986e-08,2.9519e-07,0.0005126068,0.0103888316,8.29935e-05,0.0010203317,0.0004296133,0.0093684999,0.04944111193608842,20.22608231976418,2.124055925453234e-05,0.1894880501901025
28,hMOF-7002369.cif,26,86,2,36,0,0,24,0,0,0,6,61.5,6.976744186046512,6.0,0.3444444444444444,1.116444444444445,0.0555555555555555,11.05668,5.42502,1.66625,726.454,435.98,0.619183,0.00557095,0.002899,1.8185635489,1.356225506,1.7337858288,1.0974896454,0.08477772009999995,0.2587358605999999,1.34359118907375,0.7442740084425409,0.1139065977561205,0.1925703760965924
29,hMOF-5041543.cif,26,64,4,16,0,0,38,0,0,4,0,32.0,6.25,4.0,0.3815789473684211,1.182105263157895,0.25,3.18657,1.44377,4.10038,0.0,0.0,0.0428802,1.13545e-43,1.98552e-30,0.0,0.0,0.0,0.0,0.0,0.0,,,,
30,hMOF-5047373.cif,60,88,4,16,0,0,0,0,0,4,0,58.0,4.545454545454546,4.0,0.1162790697674418,0.3906976744186046,0.25,6.3007,4.03351,0.740055,1569.51,2120.81,0.618889,0.00545759,0.00275809,3.9869499262,2.8563662444,3.3748534939,2.0425636068,0.6120964323,0.8138026376000003,1.398612682766988,0.7149942312989895,0.8560858332912049,0.5818641912999023
31,hMOF-5081381.cif,8,42,4,12,0,0,8,0,2,0,0,34.0,4.761904761904762,6.0,0.3157894736842105,1.014736842105263,0.3333333333333333,6.48708,4.5048,1.34531,2385.44,1773.15,0.815059,0.57622,0.306811,2.9102643802,2.4833736458,2.8192984925,2.0622736839,0.09096588769999991,0.4210999619,1.174251027593722,0.8516066637379935,0.1068167871077,0.3586115336538552
32,hMOF-3239.cif,96,168,8,52,0,0,0,0,0,16,0,119.0,9.523809523809524,3.25,0.1764705882352941,0.5976470588235294,0.1538461538461538,4.65943,3.91477,1.22711,632.273,515.253,0.488133,0.00375485,0.00380872,1.3650730563,2.175480132,1.2894572706,1.705193366,0.07561578569999994,0.4702867660000001,0.6287403700254381,1.590481616377744,0.0475426970807822,0.7479824557487422
