filename, H,C,N,O, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen ,largest_pore_diam1,largest_pore_diam2,density,ASA_unit_volume,ASA_unit_mass,helium void fraction,Henry Coef of propane,Henry Coef of propene,avg_loading_absolute_propane-1,avg_loading_absolute_propene-1,avg_loading_absolute_propane-0.1,avg_loading_absolute_propene-0.1,wc-propane,wc-propene,S-propane-1,S-propene-1,APS-propane,APS-propene
hMOF-5073547.cif,21,114,6,24,86.5,5.263157895,4,0.308823529,0.972941176,0.25,3.7042,2.13534,2.22302,0,0,0.118737,2.92E-16,9.02E-14,0,0,0,0,0,0,0,0,0,0
hMOF-5014834.cif,14,22,16,13,12,18.18181818,3.25,0.420289855,1.353043478,1.230769231,7.15254,5.25512,0.791543,2363.3,2985.68,0.625113,4.98E-05,3.95E-05,3.022765199,2.387607739,0.271517791,0.217664298,2.751247408,2.169943441,1.268562908,0.788293583,3.490130413,1.71055249
hMOF-5065566.cif,8,34,4,16,30,11.76470588,4,0.303030303,1.018181818,0.25,4.6415,4.08853,0.95975,1299.15,1353.63,0.529968,0.000179934,0.000219817,2.751295568,3.634927592,1.102692664,1.339692688,1.648602904,2.295234904,0.758423982,1.318523706,1.25033998,3.026321632
hMOF-6002661.cif,12,44,0,20,33,9.090909091,5,0.347826087,1.16,0,4.24346,3.75269,1.61039,159.065,98.7747,0.422766,0.00290691,0.0052051,1.052495024,1.630856718,1.030998239,1.60893201,0.021496785,0.021924707,0.646658242,1.546411898,0.013901073,0.033904628
hMOF-5050029.cif,52,96,4,38,70,4.166666667,9.5,0.216494845,0.736494845,0.105263158,4.94453,3.75439,1.0048,1152.87,1147.37,0.603437,0.0206011,0.0154558,2.804419586,3.391392355,2.619190967,2.903969923,0.185228618,0.487422431,0.828582063,1.206881061,0.153477111,0.588260901
hMOF-5043307.cif,8,22,2,8,12.5,9.090909091,4,0.407407407,1.28,0.25,6.62171,5.13361,1.50808,1643.29,1089.65,0.578355,0.000507091,0.000299205,1.682153575,1.265522085,0.992386505,0.61812891,0.689767069,0.647393175,1.331884263,0.750815989,0.918689904,0.486073147
hMOF-5041851.cif,22,26,2,8,8.5,7.692307692,4,0.324324324,1.014054054,0.25,6.0933,3.2807,2.71665,0,0,0.348494,0.434858,0.136029,0.434106607,0.294026417,0.442876652,0.165366445,-0.008770045,0.128659973,1.479382976,0.675957488,-0.012974256,0.086968672
hMOF-5046022.cif,16,40,16,8,29,5,4,0.292682927,0.928780488,2,5.4316,2.75697,1.5367,0,0,0.240512,0.106384,0.0410195,0.739949362,0.280932401,0.738417931,0.281635725,0.001531431,-0.000703324,2.639190516,0.378904059,0.004041737,-0.000266492
hMOF-5078337.cif,22,88,12,16,58,4.545454545,4,0.352272727,1.091818182,0.75,6.21405,4.57358,1.47193,2040.06,1385.98,0.693293,0.00459411,0.00296435,2.509697782,1.900971254,2.345061116,1.627742782,0.164636666,0.273228472,1.322867815,0.755933427,0.217792547,0.206542535
hMOF-5077054.cif,20,36,6,21,25.5,5.555555556,10.5,0.317647059,1.064470588,0.285714286,11.23563,7.74297,0.603137,2057.56,3411.43,0.748627,0.000180895,0.000126195,5.842973423,4.315153437,0.793549085,0.560554391,5.049424337,3.754599046,1.356776276,0.737041189,6.850939148,2.767294146
hMOF-37472.cif,9,29,7,8,23.75,6.896551724,4,0.272727273,0.887272727,0.875,5.52026,4.69511,1.3627,1527.79,1121.15,0.778052,4.89709,1.62677,2.608282474,1.871442309,2.601778994,1.486828033,0.00650348,0.384614275,1.396525122,0.716063023,0.009082273,0.275408061
hMOF-5068790.cif,32,100,4,16,68,4,4,0.276595745,0.861276596,0.25,3.91971,2.47628,2.20377,0,0,0.2618,3.40E-05,0.000127069,0.152885656,0.566887492,0.08323019,0.279634732,0.069655466,0.28725276,0.27023428,3.700492767,0.018823295,1.062976761
hMOF-5064544.cif,4,12,2,8,9.5,16.66666667,4,0.4,1.317333333,0.25,6.01355,5.03098,1.14664,2272.14,1981.57,0.625652,0.00026201,0.000188809,3.108476616,2.392738779,1.989984097,1.421239971,1.118492519,0.971498809,1.301735921,0.768204967,1.45598189,0.74631021
